Experiment	Sweeper	
Saved Date	30.06.2023 14:07:13	
User		
Date		
Start time	30.06.2023 14:06:12	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-150E-3	
Sweep channel: Stop (V)	150E-3	
Sweep channel: Points	501	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	90E-6	
Step channel 1: Stop (V)	90E-6	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)
-33.000000E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-32.399997E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-31.800002E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-31.199999E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-30.600004E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-30.000001E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-29.399998E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-28.800003E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-28.200001E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-27.599998E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-27.000003E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-26.400000E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-25.799997E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-25.200002E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-24.599999E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-24.000004E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-23.399994E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-22.799999E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-22.200003E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-21.599993E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-20.999998E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-20.400003E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-19.799992E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-19.199997E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-18.600002E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-18.000007E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
