Experiment	Sweeper	
Saved Date	30.06.2023 13:59:03	
User		
Date		
Start time	30.06.2023 13:57:12	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-150E-3	
Sweep channel: Stop (V)	150E-3	
Sweep channel: Points	501	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	90E-6	
Step channel 1: Stop (V)	90E-6	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 1 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	LI Demod 1 X [00001] (V)	Input 1 [00001] [bwd] (V)	LI Demod 1 X [00001] [bwd] (V)
-90.000004E-3	9.7554512E-3	-58.971913E-6	0.0000000E+0	NaN
-89.400008E-3	10.129533E-3	-73.575146E-6	0.0000000E+0	NaN
-88.799998E-3	10.425977E-3	-53.651347E-6	0.0000000E+0	NaN
-88.200003E-3	10.564336E-3	13.165000E-6	0.0000000E+0	NaN
-87.600008E-3	11.022309E-3	54.009201E-6	0.0000000E+0	NaN
-87.000005E-3	11.182649E-3	77.284814E-6	0.0000000E+0	NaN
-86.400002E-3	11.367260E-3	15.721658E-6	0.0000000E+0	NaN
-85.800000E-3	11.742289E-3	-31.302479E-6	0.0000000E+0	NaN
-85.200004E-3	11.919502E-3	-54.133576E-6	0.0000000E+0	NaN
-84.600002E-3	11.708477E-3	-39.894916E-6	0.0000000E+0	NaN
-84.000006E-3	11.664725E-3	31.978700E-6	0.0000000E+0	NaN
-83.400004E-3	11.700707E-3	71.115341E-6	0.0000000E+0	NaN
-82.800001E-3	11.823800E-3	65.488246E-6	0.0000000E+0	NaN
-82.200006E-3	11.935500E-3	119.76299E-9	0.0000000E+0	NaN
-81.600003E-3	12.019947E-3	-75.419353E-6	0.0000000E+0	NaN
-81.000000E-3	12.027970E-3	-76.296696E-6	0.0000000E+0	NaN
-80.400005E-3	11.995448E-3	-31.627438E-6	0.0000000E+0	NaN
-79.800002E-3	12.147859E-3	31.901684E-6	0.0000000E+0	NaN
-79.200000E-3	12.457445E-3	42.856420E-6	0.0000000E+0	NaN
-78.600004E-3	12.686633E-3	53.658714E-6	0.0000000E+0	NaN
-78.000002E-3	12.973361E-3	-5.5516330E-6	0.0000000E+0	NaN
-77.399999E-3	13.232971E-3	-43.734981E-6	0.0000000E+0	NaN
-76.800004E-3	13.410443E-3	-71.044560E-6	0.0000000E+0	NaN
-76.200001E-3	13.560886E-3	-32.999415E-6	0.0000000E+0	NaN
-75.600006E-3	13.856621E-3	23.633080E-6	0.0000000E+0	NaN
-75.000003E-3	14.161674E-3	64.432090E-6	0.0000000E+0	NaN
-74.400000E-3	14.321903E-3	36.414694E-6	0.0000000E+0	NaN
-73.800005E-3	14.335908E-3	-9.0487956E-6	0.0000000E+0	NaN
-73.200002E-3	14.307886E-3	-73.137504E-6	0.0000000E+0	NaN
-72.600000E-3	14.382810E-3	-72.684117E-6	0.0000000E+0	NaN
-72.000004E-3	14.501051E-3	-19.488964E-6	0.0000000E+0	NaN
-71.400002E-3	14.692108E-3	66.109373E-6	0.0000000E+0	NaN
-70.799999E-3	14.818355E-3	92.484814E-6	0.0000000E+0	NaN
-70.200004E-3	14.844904E-3	46.471523E-6	0.0000000E+0	NaN
-69.600001E-3	14.857315E-3	-29.353485E-6	0.0000000E+0	NaN
-69.000006E-3	14.940342E-3	-69.821755E-6	0.0000000E+0	NaN
-68.400003E-3	15.299580E-3	-50.385199E-6	0.0000000E+0	NaN
-67.800000E-3	15.650965E-3	-2.3337486E-6	0.0000000E+0	NaN
-67.200005E-3	15.872262E-3	54.172593E-6	0.0000000E+0	NaN
-66.600002E-3	16.136317E-3	59.770027E-6	0.0000000E+0	NaN
-66.000000E-3	16.314890E-3	24.483552E-6	0.0000000E+0	NaN
-65.400004E-3	16.486857E-3	-22.690083E-6	0.0000000E+0	0.0000000E+0
-64.800002E-3	16.774470E-3	-70.978516E-6	0.0000000E+0	0.0000000E+0
-64.199999E-3	17.083878E-3	-35.486391E-6	0.0000000E+0	0.0000000E+0
-63.600004E-3	17.252795E-3	5.7098473E-6	0.0000000E+0	0.0000000E+0
-63.000001E-3	17.331285E-3	54.586915E-6	0.0000000E+0	0.0000000E+0
-62.399998E-3	17.317414E-3	49.751496E-6	0.0000000E+0	0.0000000E+0
-61.800003E-3	17.362913E-3	14.039624E-6	0.0000000E+0	0.0000000E+0
-61.200000E-3	17.442485E-3	-55.409368E-6	0.0000000E+0	0.0000000E+0
-60.600005E-3	17.611066E-3	-50.935290E-6	0.0000000E+0	0.0000000E+0
-60.000002E-3	17.762873E-3	-40.944284E-6	0.0000000E+0	0.0000000E+0
-59.400000E-3	17.878195E-3	39.090617E-6	0.0000000E+0	0.0000000E+0
-58.800004E-3	17.897006E-3	72.017559E-6	0.0000000E+0	0.0000000E+0
-58.200002E-3	17.939810E-3	40.944764E-6	0.0000000E+0	0.0000000E+0
-57.599999E-3	18.199466E-3	-15.104282E-6	0.0000000E+0	0.0000000E+0
-57.000004E-3	18.528776E-3	-39.107159E-6	0.0000000E+0	0.0000000E+0
-56.400001E-3	18.870857E-3	-36.622434E-6	0.0000000E+0	0.0000000E+0
-55.799998E-3	19.127380E-3	-2.9338819E-6	0.0000000E+0	0.0000000E+0
-55.200003E-3	19.277746E-3	66.145469E-6	0.0000000E+0	0.0000000E+0
-54.600000E-3	19.469211E-3	54.131513E-6	0.0000000E+0	0.0000000E+0
-54.000005E-3	19.638944E-3	25.719804E-6	0.0000000E+0	0.0000000E+0
-53.400002E-3	30.853584E-3	87.493077E-6	0.0000000E+0	0.0000000E+0
-52.800000E-3	31.043792E-3	-61.263556E-6	0.0000000E+0	0.0000000E+0
-52.200004E-3	31.174501E-3	-41.816773E-6	0.0000000E+0	0.0000000E+0
-51.600002E-3	31.158861E-3	42.321350E-6	0.0000000E+0	0.0000000E+0
-50.999999E-3	30.965326E-3	76.954908E-6	0.0000000E+0	0.0000000E+0
-50.400004E-3	30.833898E-3	33.449382E-6	0.0000000E+0	0.0000000E+0
-49.800001E-3	30.709270E-3	-24.864898E-6	0.0000000E+0	0.0000000E+0
-49.199998E-3	30.718883E-3	-78.119738E-6	0.0000000E+0	0.0000000E+0
-48.600003E-3	30.687569E-3	-58.439400E-6	0.0000000E+0	0.0000000E+0
-48.000000E-3	30.659577E-3	-17.869284E-6	0.0000000E+0	0.0000000E+0
-47.399998E-3	30.653508E-3	84.716994E-6	0.0000000E+0	0.0000000E+0
-46.800002E-3	30.463442E-3	68.730107E-6	0.0000000E+0	0.0000000E+0
-46.200000E-3	30.374680E-3	24.364337E-6	0.0000000E+0	0.0000000E+0
-45.600004E-3	30.381311E-3	-53.170541E-6	0.0000000E+0	0.0000000E+0
-45.000002E-3	30.546241E-3	-73.220901E-6	0.0000000E+0	0.0000000E+0
-44.399999E-3	30.680727E-3	-42.856842E-6	0.0000000E+0	0.0000000E+0
-43.800004E-3	30.769505E-3	42.102347E-6	0.0000000E+0	0.0000000E+0
-43.200001E-3	30.789392E-3	65.737127E-6	0.0000000E+0	0.0000000E+0
-42.599998E-3	30.799052E-3	56.076817E-6	0.0000000E+0	0.0000000E+0
-42.000003E-3	30.840822E-3	-20.935744E-6	0.0000000E+0	0.0000000E+0
-41.400000E-3	30.889668E-3	-83.125393E-6	0.0000000E+0	0.0000000E+0
-40.799998E-3	31.015247E-3	-83.813829E-6	0.0000000E+0	0.0000000E+0
-40.200002E-3	31.130094E-3	-96.295153E-9	0.0000000E+0	0.0000000E+0
-39.600000E-3	31.066665E-3	44.102471E-6	0.0000000E+0	0.0000000E+0
-38.999997E-3	30.943336E-3	65.946297E-6	0.0000000E+0	0.0000000E+0
-38.400002E-3	30.780097E-3	18.695098E-6	0.0000000E+0	0.0000000E+0
-37.799999E-3	30.689543E-3	-33.694803E-6	0.0000000E+0	0.0000000E+0
-37.200004E-3	30.670252E-3	-62.621410E-6	0.0000000E+0	0.0000000E+0
-36.600001E-3	30.694282E-3	-33.901619E-6	0.0000000E+0	0.0000000E+0
-35.999998E-3	30.693701E-3	6.1786932E-6	0.0000000E+0	0.0000000E+0
-35.400003E-3	30.603735E-3	72.986571E-6	0.0000000E+0	0.0000000E+0
-34.800000E-3	30.437458E-3	72.983479E-6	0.0000000E+0	0.0000000E+0
-34.199998E-3	30.325400E-3	-21.668095E-6	0.0000000E+0	0.0000000E+0
-33.600003E-3	30.429296E-3	-81.732840E-6	0.0000000E+0	0.0000000E+0
-33.000000E-3	30.587364E-3	-81.385086E-6	0.0000000E+0	0.0000000E+0
-32.399997E-3	30.754762E-3	-19.522569E-6	0.0000000E+0	0.0000000E+0
-31.800002E-3	30.835023E-3	58.806017E-6	0.0000000E+0	0.0000000E+0
-31.199999E-3	30.811232E-3	79.166457E-6	0.0000000E+0	0.0000000E+0
-30.600004E-3	30.805849E-3	52.274507E-6	0.0000000E+0	0.0000000E+0
-30.000001E-3	30.868674E-3	-15.309892E-6	0.0000000E+0	0.0000000E+0
-29.399998E-3	30.934906E-3	-55.390090E-6	0.0000000E+0	0.0000000E+0
-28.800003E-3	31.127630E-3	-62.469080E-6	0.0000000E+0	0.0000000E+0
-28.200001E-3	31.199535E-3	6.6632433E-6	0.0000000E+0	0.0000000E+0
-27.599998E-3	31.003198E-3	62.739768E-6	0.0000000E+0	0.0000000E+0
-27.000003E-3	30.857097E-3	78.620549E-6	0.0000000E+0	0.0000000E+0
-26.400000E-3	30.738724E-3	18.825938E-6	0.0000000E+0	0.0000000E+0
-25.799997E-3	30.732999E-3	-52.350977E-6	0.0000000E+0	0.0000000E+0
-25.200002E-3	30.713264E-3	-72.969713E-6	0.0000000E+0	0.0000000E+0
-24.599999E-3	30.691760E-3	-29.032295E-6	0.0000000E+0	0.0000000E+0
-24.000004E-3	30.663688E-3	23.032555E-6	0.0000000E+0	0.0000000E+0
-23.399994E-3	30.525653E-3	101.76693E-6	0.0000000E+0	0.0000000E+0
-22.799999E-3	30.361930E-3	47.194411E-6	0.0000000E+0	0.0000000E+0
-22.200003E-3	30.379018E-3	-12.443418E-6	0.0000000E+0	0.0000000E+0
-21.599993E-3	30.580329E-3	-58.163776E-6	0.0000000E+0	0.0000000E+0
-20.999998E-3	30.745702E-3	-72.051458E-6	0.0000000E+0	0.0000000E+0
-20.400003E-3	30.828835E-3	-27.979426E-6	0.0000000E+0	0.0000000E+0
-19.799992E-3	30.841453E-3	45.332126E-6	0.0000000E+0	0.0000000E+0
-19.199997E-3	30.889748E-3	66.730798E-6	0.0000000E+0	0.0000000E+0
-18.600002E-3	30.883787E-3	38.282069E-6	0.0000000E+0	0.0000000E+0
-18.000007E-3	31.018702E-3	-17.401699E-6	0.0000000E+0	0.0000000E+0
-17.399997E-3	31.150892E-3	-70.916169E-6	0.0000000E+0	0.0000000E+0
-16.800001E-3	31.102151E-3	-78.297569E-6	0.0000000E+0	0.0000000E+0
-16.200006E-3	30.853959E-3	4.5023903E-6	0.0000000E+0	0.0000000E+0
-15.599996E-3	30.708965E-3	63.769636E-6	0.0000000E+0	0.0000000E+0
-15.000001E-3	30.655012E-3	72.877614E-6	0.0000000E+0	0.0000000E+0
-14.400005E-3	30.757928E-3	35.131266E-6	0.0000000E+0	0.0000000E+0
-13.799995E-3	30.707499E-3	-18.778806E-6	0.0000000E+0	0.0000000E+0
-13.200000E-3	30.658523E-3	-66.582164E-6	0.0000000E+0	0.0000000E+0
-12.600005E-3	30.537764E-3	-39.210070E-6	0.0000000E+0	0.0000000E+0
-11.999995E-3	30.392239E-3	-11.048135E-6	0.0000000E+0	0.0000000E+0
-11.399999E-3	30.470299E-3	60.377075E-6	0.0000000E+0	0.0000000E+0
-10.800004E-3	30.724756E-3	82.099214E-6	0.0000000E+0	0.0000000E+0
-10.199994E-3	30.893084E-3	28.017526E-6	0.0000000E+0	0.0000000E+0
-9.5999986E-3	30.959491E-3	-58.593538E-6	0.0000000E+0	0.0000000E+0
-9.0000033E-3	30.906353E-3	-88.229586E-6	0.0000000E+0	0.0000000E+0
-8.3999932E-3	30.927345E-3	-57.163175E-6	0.0000000E+0	0.0000000E+0
-7.7999979E-3	30.974181E-3	8.0831005E-6	0.0000000E+0	0.0000000E+0
-7.2000027E-3	31.127514E-3	48.848829E-6	0.0000000E+0	0.0000000E+0
-6.5999925E-3	31.267423E-3	55.596181E-6	0.0000000E+0	0.0000000E+0
-5.9999973E-3	31.199154E-3	11.520892E-6	0.0000000E+0	0.0000000E+0
-5.4000020E-3	31.016741E-3	-68.517016E-6	0.0000000E+0	0.0000000E+0
-4.7999918E-3	30.850641E-3	-74.519783E-6	0.0000000E+0	0.0000000E+0
-4.1999966E-3	30.804824E-3	-46.998808E-6	0.0000000E+0	0.0000000E+0
-3.6000013E-3	30.773656E-3	23.821174E-6	0.0000000E+0	0.0000000E+0
-3.0000061E-3	30.754086E-3	69.198228E-6	0.0000000E+0	0.0000000E+0
-2.3999959E-3	30.691970E-3	66.547822E-6	0.0000000E+0	0.0000000E+0
-1.8000007E-3	30.577235E-3	-22.010128E-6	0.0000000E+0	0.0000000E+0
-1.2000054E-3	30.436384E-3	-52.753534E-6	0.0000000E+0	0.0000000E+0
-599.99526E-6	30.431924E-3	-66.812281E-6	0.0000000E+0	0.0000000E+0
0.0000000E+0	30.575901E-3	-12.726405E-6	0.0000000E+0	0.0000000E+0
599.99526E-6	30.780913E-3	41.722116E-6	0.0000000E+0	0.0000000E+0
1.2000054E-3	30.874815E-3	74.524381E-6	0.0000000E+0	0.0000000E+0
1.8000007E-3	30.926082E-3	7.3162219E-6	0.0000000E+0	0.0000000E+0
2.3999959E-3	30.935610E-3	-17.670183E-6	0.0000000E+0	0.0000000E+0
3.0000061E-3	30.966405E-3	-35.482266E-6	0.0000000E+0	0.0000000E+0
3.6000013E-3	31.016888E-3	-47.848040E-6	0.0000000E+0	0.0000000E+0
4.1999966E-3	31.186100E-3	27.311175E-6	0.0000000E+0	0.0000000E+0
4.8000067E-3	31.207358E-3	75.916716E-6	0.0000000E+0	0.0000000E+0
5.4000020E-3	31.198129E-3	54.880507E-6	0.0000000E+0	0.0000000E+0
5.9999973E-3	31.025473E-3	1.6268302E-6	0.0000000E+0	0.0000000E+0
6.6000074E-3	30.883057E-3	-52.987914E-6	0.0000000E+0	0.0000000E+0
7.2000027E-3	30.663969E-3	-90.824331E-6	0.0000000E+0	0.0000000E+0
7.7999979E-3	30.663647E-3	-23.504455E-6	0.0000000E+0	0.0000000E+0
8.4000081E-3	30.616770E-3	39.078139E-6	0.0000000E+0	0.0000000E+0
9.0000033E-3	30.627351E-3	78.239602E-6	0.0000000E+0	0.0000000E+0
9.5999986E-3	30.544166E-3	29.201270E-6	0.0000000E+0	0.0000000E+0
10.200009E-3	30.394265E-3	-27.954662E-6	0.0000000E+0	0.0000000E+0
10.800004E-3	30.321363E-3	-85.069405E-6	0.0000000E+0	0.0000000E+0
11.399999E-3	30.337393E-3	-69.908012E-6	0.0000000E+0	0.0000000E+0
11.999995E-3	30.473324E-3	16.578011E-6	0.0000000E+0	0.0000000E+0
12.600005E-3	30.649275E-3	58.031452E-6	0.0000000E+0	0.0000000E+0
13.200000E-3	30.714408E-3	70.992297E-6	0.0000000E+0	0.0000000E+0
13.799995E-3	30.773843E-3	49.500646E-6	0.0000000E+0	0.0000000E+0
14.400005E-3	30.767960E-3	-34.024968E-6	0.0000000E+0	0.0000000E+0
15.000001E-3	30.828796E-3	-69.236405E-6	0.0000000E+0	0.0000000E+0
15.599996E-3	30.838704E-3	-29.353117E-6	0.0000000E+0	0.0000000E+0
16.200006E-3	30.963670E-3	40.611802E-6	0.0000000E+0	0.0000000E+0
16.800001E-3	31.089908E-3	60.913811E-6	0.0000000E+0	0.0000000E+0
